Name,Contact Details,Employment History,Income,Rental History,Credit Score,Payment History,Outstanding Debts,Public Financial Records,Criminal Records,Legal Issues,Employment Verification,Income Verification,Personal References,Professional References,Good Tenant
John Doe,1234567890,5 years,60000,2 years,700,On-time,5000,None,None,None,Verified,Verified,Positive,Positive,1
Jane Smith,0987654321,3 years,45000,1 year,650,On-time,3000,None,None,None,Verified,Verified,Positive,Neutral,1
Alice Johnson,1122334455,1 year,30000,None,600,Late payments,7000,None,Minor,None,Verified,Verified,Neutral,Neutral,0
Bob Brown,5566778899,10 years,80000,5 years,750,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Charlie Davis,9988776655,2 years,35000,1 year,620,On-time,4000,None,Serious,None,Verified,Verified,Neutral,Neutral,0
Eve Evans,4433221100,4 years,55000,2 years,680,Late payments,6000,None,None,None,Verified,Verified,Positive,Positive,1
Frank Green,6677889900,6 months,25000,None,590,Late payments,8000,None,Minor,None,Verified,Verified,Neutral,Negative,0
Grace Lee,1231231234,7 years,70000,3 years,720,On-time,1000,None,None,None,Verified,Verified,Positive,Positive,1
Hannah White,3213213210,5 years,48000,2 years,640,On-time,3000,None,None,None,Verified,Verified,Neutral,Positive,1
Ian Black,7897897890,8 years,90000,4 years,760,On-time,1500,None,None,None,Verified,Verified,Positive,Positive,1
John Doe,1234567890,5 years,60000,2 years,700,On-time,5000,None,None,None,Verified,Verified,Positive,Positive,1
Jane Smith,0987654321,3 years,45000,1 year,650,On-time,3000,None,None,None,Verified,Verified,Positive,Neutral,1
Alice Johnson,1122334455,1 year,30000,None,600,Late payments,7000,None,Minor,None,Verified,Verified,Neutral,Neutral,0
Bob Brown,5566778899,10 years,80000,5 years,750,On-time,2000,None,None,None,Verified,Verified,Positive,Positive,1
Charlie Davis,9988776655,2 years,35000,1 year,620,On-time,4000,None,Serious,None,Verified,Verified,Neutral,Neutral,0
Eve Evans,4433221100,4 years,55000,2 years,680,Late payments,6000,None,None,None,Verified,Verified,Positive,Positive,1
